First_pokemon,Second_pokemon,Winner,Name_P1,Type 1_P1,Type 2_P1,Type_P1,Abilities_P1,HiddenAbility_P1,Generation_P1,Hp_P1,Attack_P1,Defense_P1,SpecialAttack_P1,SpecialDefense_P1,Speed_P1,TotalStats_P1,Weight_P1,Height_P1,GenderProbM_P1,Category_P1,CatchRate_P1,EggCycles_P1,EggGroup_P1,LevelingRate_P1,BaseFriendship_P1,IsLegendary_P1,IsMythical_P1,IsUltraBeast_P1,HasMega_P1,EvoStage_P1,TotalEvoStages_P1,PreevoName_P1,DamageFromNormal_P1,DamageFromFighting_P1,DamageFromFlying_P1,DamageFromPoison_P1,DamageFromGround_P1,DamageFromRock_P1,DamageFromBug_P1,DamageFromGhost_P1,DamageFromSteel_P1,DamageFromFire_P1,DamageFromWater_P1,DamageFromGrass_P1,DamageFromElectric_P1,DamageFromPsychic_P1,DamageFromIce_P1,DamageFromDragon_P1,DamageFromDark_P1,DamageFromFairy_P1,Name_P2,Type 1_P2,Type 2_P2,Type_P2,Abilities_P2,HiddenAbility_P2,Generation_P2,Hp_P2,Attack_P2,Defense_P2,SpecialAttack_P2,SpecialDefense_P2,Speed_P2,TotalStats_P2,Weight_P2,Height_P2,GenderProbM_P2,Category_P2,CatchRate_P2,EggCycles_P2,EggGroup_P2,LevelingRate_P2,BaseFriendship_P2,IsLegendary_P2,IsMythical_P2,IsUltraBeast_P2,HasMega_P2,EvoStage_P2,TotalEvoStages_P2,PreevoName_P2,DamageFromNormal_P2,DamageFromFighting_P2,DamageFromFlying_P2,DamageFromPoison_P2,DamageFromGround_P2,DamageFromRock_P2,DamageFromBug_P2,DamageFromGhost_P2,DamageFromSteel_P2,DamageFromFire_P2,DamageFromWater_P2,DamageFromGrass_P2,DamageFromElectric_P2,DamageFromPsychic_P2,DamageFromIce_P2,DamageFromDragon_P2,DamageFromDark_P2,DamageFromFairy_P2
266,298,298,Larvitar,Rock,Ground,"['Rock', 'Ground']",['Guts'],['Sand Veil'],II,50.0,64.0,50.0,45.0,50.0,41.0,300.0,72.0,0.6,0.5,Rock Skin Pokémon,45.0,40.0,['Monster'],"Slow
",35.0,0.0,0.0,0.0,0.0,1.0,3.0,No Preevolution,0.5,2.0,0.5,0.25,2.0,0.5,1.0,1.0,2.0,0.5,4.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,Nuzleaf,Grass,Dark,"['Grass', 'Dark']","['Chlorophyll', 'Early Bird']",['Pickpocket'],III,70.0,70.0,40.0,60.0,40.0,60.0,340.0,28.0,1.0,0.5,Wily Pokémon,120.0,15.0,['Field' 'Grass'],"Medium Slow
",70.0,0.0,0.0,0.0,0.0,2.0,3.0,Seedot,1.0,2.0,2.0,2.0,0.5,1.0,4.0,0.5,1.0,2.0,0.5,0.5,0.5,0.0,2.0,1.0,0.5,2.0
702,701,701,Virizion,Grass,Fighting,"['Grass', 'Fighting']",['Justified'],[],V,91.0,90.0,72.0,90.0,129.0,108.0,580.0,200.0,2.0,-,Grassland Pokémon,3.0,80.0,-,"Slow
",35.0,1.0,0.0,0.0,0.0,1.0,1.0,No Preevolution,1.0,1.0,4.0,2.0,0.5,0.5,1.0,1.0,1.0,2.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,2.0,Terrakion,Rock,Fighting,"['Rock', 'Fighting']",['Justified'],[],V,91.0,129.0,90.0,72.0,90.0,108.0,580.0,260.0,1.9,-,Cavern Pokémon,3.0,80.0,-,"Slow
",35.0,1.0,0.0,0.0,0.0,1.0,1.0,No Preevolution,0.5,2.0,1.0,0.5,2.0,0.5,0.5,1.0,2.0,0.5,2.0,2.0,1.0,2.0,1.0,1.0,0.5,2.0
151,231,151,Omastar,Rock,Water,"['Rock', 'Water']","['Swift Swim', 'Shell Armor']",['Weak Armor'],I,70.0,60.0,125.0,115.0,70.0,55.0,495.0,35.0,1.0,0.875,Spiral Pokémon,45.0,30.0,['Water 1' 'Water 3'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,2.0,2.0,Omanyte,0.5,2.0,0.5,0.5,2.0,1.0,1.0,1.0,1.0,0.25,1.0,4.0,2.0,1.0,0.5,1.0,1.0,1.0,Shuckle,Bug,Rock,"['Bug', 'Rock']","['Sturdy', 'Gluttony']",['Contrary'],II,20.0,10.0,230.0,10.0,230.0,5.0,505.0,20.5,0.6,0.5,Mold Pokémon,190.0,20.0,['Bug'],"Medium Slow
",70.0,0.0,0.0,0.0,0.0,1.0,1.0,No Preevolution,0.5,1.0,1.0,0.5,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
657,752,657,Joltik,Bug,Electric,"['Bug', 'Electric']","['Compound Eyes', 'Unnerve']",['Swarm'],V,50.0,47.0,50.0,57.0,50.0,65.0,319.0,0.6,0.1,0.5,Attaching Pokémon,190.0,20.0,['Bug'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,1.0,2.0,No Preevolution,1.0,0.5,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,Aegislash Shield Forme,Steel,Ghost,"['Steel', 'Ghost']",['Stance Change'],[],VI,60.0,50.0,140.0,50.0,140.0,60.0,500.0,53.0,1.7,0.5,Royal Sword Pokémon,45.0,20.0,['Mineral'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,3.0,3.0,Doublade,0.0,0.0,0.5,0.0,2.0,0.5,0.25,2.0,0.5,2.0,1.0,0.5,1.0,0.5,0.5,0.5,2.0,0.5
192,134,134,Natu,Psychic,Flying,"['Psychic', 'Flying']","['Synchronize', 'Early Bird']",['Magic Bounce'],II,40.0,50.0,45.0,70.0,45.0,70.0,320.0,2.0,0.2,0.5,Tiny Bird Pokémon,190.0,20.0,['Flying'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,1.0,2.0,No Preevolution,1.0,0.25,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.5,2.0,0.5,2.0,1.0,2.0,1.0,Jynx,Ice,Psychic,"['Ice', 'Psychic']","['Oblivious', 'Forewarn']",['Dry Skin'],I,65.0,50.0,35.0,115.0,95.0,95.0,455.0,40.6,1.4,0.0,Human Shape Pokémon,45.0,25.0,['Human-Like'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,2.0,2.0,Smoochum,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,1.0
151,87,151,Omastar,Rock,Water,"['Rock', 'Water']","['Swift Swim', 'Shell Armor']",['Weak Armor'],I,70.0,60.0,125.0,115.0,70.0,55.0,495.0,35.0,1.0,0.875,Spiral Pokémon,45.0,30.0,['Water 1' 'Water 3'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,2.0,2.0,Omanyte,0.5,2.0,0.5,0.5,2.0,1.0,1.0,1.0,1.0,0.25,1.0,4.0,2.0,1.0,0.5,1.0,1.0,1.0,Slowbro,Water,Psychic,"['Water', 'Psychic']","['Oblivious', 'Own Tempo']",['Regenerator'],I,95.0,75.0,110.0,100.0,80.0,30.0,490.0,78.5,1.6,0.5,Hermit Crab Pokémon,75.0,20.0,['Monster' 'Water 1'],"Medium Fast
",70.0,0.0,0.0,0.0,1.0,2.0,2.0,Slowpoke,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,0.5,2.0,2.0,0.5,0.5,1.0,2.0,1.0
365,240,240,Swablu,Normal,Flying,"['Normal', 'Flying']",['Natural Cure'],['Cloud Nine'],III,45.0,40.0,60.0,40.0,75.0,50.0,310.0,1.2,0.4,0.5,Cotton Bird Pokémon,255.0,20.0,['Flying' 'Dragon'],"Erratic
",70.0,0.0,0.0,0.0,0.0,1.0,2.0,No Preevolution,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,Piloswine,Ice,Ground,"['Ice', 'Ground']","['Oblivious', 'Snow Cloak']",['Thick Fat'],II,100.0,100.0,80.0,60.0,60.0,50.0,450.0,55.8,1.1,0.5,Swine Pokémon,75.0,20.0,['Field'],"Slow
",70.0,0.0,0.0,0.0,0.0,2.0,3.0,Swinub,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0
373,441,441,Whiscash,Water,Ground,"['Water', 'Ground']","['Oblivious', 'Anticipation']",['Hydration'],III,110.0,78.0,73.0,76.0,71.0,60.0,468.0,23.6,0.9,0.5,Whiskers Pokémon,75.0,20.0,['Water 2' 'Water 1'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,2.0,2.0,Barboach,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,0.5,1.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,Empoleon,Water,Steel,"['Water', 'Steel']",['Torrent'],['Competitive'],IV,84.0,86.0,88.0,111.0,101.0,60.0,530.0,84.5,1.7,0.875,Emperor Pokémon,45.0,20.0,['Water 1' 'Field'],"Medium Slow
",70.0,0.0,0.0,0.0,0.0,3.0,3.0,Prinplup,0.5,2.0,0.5,0.0,2.0,0.5,0.5,1.0,0.25,1.0,0.5,1.0,2.0,0.5,0.25,0.5,1.0,0.5
654,671,671,Frillish,Water,Ghost,"['Water', 'Ghost']","['Water Absorb', 'Cursed Body']",['Damp'],V,55.0,40.0,50.0,65.0,85.0,40.0,335.0,33.0,1.2,0.5,Floating Pokémon,190.0,20.0,['Amorphous'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,1.0,2.0,No Preevolution,0.0,0.0,1.0,0.5,1.0,1.0,0.5,2.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,2.0,1.0,Chandelure,Ghost,Fire,"['Ghost', 'Fire']","['Flash Fire', 'Flame Body']",['Infiltrator'],V,60.0,55.0,90.0,145.0,90.0,80.0,520.0,34.3,1.0,0.5,Luring Pokémon,45.0,20.0,['Amorphous'],"Medium Slow
",70.0,0.0,0.0,0.0,0.0,3.0,3.0,Lampent,0.0,0.0,1.0,0.5,2.0,2.0,0.25,2.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,2.0,0.5
270,708,270,Lugia,Psychic,Flying,"['Psychic', 'Flying']",['Pressure'],['Multiscale'],II,106.0,90.0,130.0,90.0,154.0,110.0,680.0,216.0,5.2,-,Diving Pokémon,3.0,120.0,-,"Slow
",0.0,1.0,0.0,0.0,0.0,1.0,1.0,No Preevolution,1.0,0.25,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.5,2.0,0.5,2.0,1.0,2.0,1.0,Zekrom,Dragon,Electric,"['Dragon', 'Electric']",['Teravolt'],[],V,100.0,150.0,120.0,120.0,100.0,90.0,680.0,345.0,2.9,-,Deep Black Pokémon,3.0,120.0,-,"Slow
",0.0,1.0,0.0,0.0,0.0,1.0,1.0,No Preevolution,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.25,1.0,2.0,2.0,1.0,2.0
