ID,Name,Type 1,Type 2,Abilities,HiddenAbility,Generation,Hp,Attack,Defense,SpecialAttack,SpecialDefense,Speed,TotalStats,Weight,Height,GenderProbM,Category,CatchRate,EggCycles,EggGroup,LevelingRate,BaseFriendship,IsLegendary,IsMythical,IsUltraBeast,HasMega,EvoStage,TotalEvoStages,PreevoName,DamageFromNormal,DamageFromFighting,DamageFromFlying,DamageFromPoison,DamageFromGround,DamageFromRock,DamageFromBug,DamageFromGhost,DamageFromSteel,DamageFromFire,DamageFromWater,DamageFromGrass,DamageFromElectric,DamageFromPsychic,DamageFromIce,DamageFromDragon,DamageFromDark,DamageFromFairy
1.0,Bulbasaur,Grass,Poison,['Overgrow'],['Chlorophyll'],I,45.0,49.0,49.0,65.0,65.0,45.0,318.0,6.9,0.7,0.875,Seed Pokémon,45.0,20.0,['Monster' 'Grass'],"Medium Slow
",70.0,0.0,0.0,0.0,0.0,1.0,3.0,No Preevolution,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5
2.0,Ivysaur,Grass,Poison,['Overgrow'],['Chlorophyll'],I,60.0,62.0,63.0,80.0,80.0,60.0,405.0,13.0,1.0,0.875,Seed Pokémon,45.0,20.0,['Monster' 'Grass'],"Medium Slow
",70.0,0.0,0.0,0.0,0.0,2.0,3.0,Bulbasaur,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5
3.0,Venusaur,Grass,Poison,['Overgrow'],['Chlorophyll'],I,80.0,82.0,83.0,100.0,100.0,80.0,625.0,100.0,2.0,0.875,Seed Pokémon,45.0,20.0,['Monster' 'Grass'],"Medium Slow
",70.0,0.0,0.0,0.0,1.0,3.0,3.0,Ivysaur,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5
4.0,Mega Venusaur,Grass,Poison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,Charmander,Fire,,['Blaze'],['Solar Power'],I,39.0,52.0,43.0,60.0,50.0,65.0,309.0,8.5,0.6,0.875,Lizard Pokémon,45.0,20.0,['Monster' 'Dragon'],"Medium Slow
",70.0,0.0,0.0,0.0,0.0,1.0,3.0,No Preevolution,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5
6.0,Charmeleon,Fire,,['Blaze'],['Solar Power'],I,58.0,64.0,58.0,80.0,65.0,80.0,405.0,19.0,1.1,0.875,Flame Pokémon,45.0,20.0,['Monster' 'Dragon'],"Medium Slow
",70.0,0.0,0.0,0.0,0.0,2.0,3.0,Charmander,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5
7.0,Charizard,Fire,Flying,['Blaze'],['Solar Power'],I,78.0,84.0,78.0,109.0,85.0,100.0,634.0,90.5,1.7,0.875,Flame Pokémon,45.0,20.0,['Monster' 'Dragon'],"Medium Slow
",70.0,0.0,0.0,0.0,1.0,3.0,3.0,Charmeleon,1.0,0.5,1.0,1.0,0.0,4.0,0.25,1.0,0.5,0.5,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
8.0,Mega Charizard X,Fire,Dragon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,Mega Charizard Y,Fire,Flying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,Squirtle,Water,,['Torrent'],['Rain Dish'],I,44.0,48.0,65.0,50.0,64.0,43.0,314.0,9.0,0.5,0.875,Tiny Turtle Pokémon,45.0,20.0,['Monster' 'Water 1'],"Medium Slow
",70.0,0.0,0.0,0.0,0.0,1.0,3.0,No Preevolution,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0
11.0,Wartortle,Water,,['Torrent'],['Rain Dish'],I,59.0,63.0,80.0,65.0,80.0,58.0,405.0,22.5,1.0,0.875,Turtle Pokémon,45.0,20.0,['Monster' 'Water 1'],"Medium Slow
",70.0,0.0,0.0,0.0,0.0,2.0,3.0,Squirtle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0
12.0,Blastoise,Water,,['Torrent'],['Rain Dish'],I,79.0,83.0,100.0,85.0,105.0,78.0,630.0,85.5,1.6,0.875,Shellfish Pokémon,45.0,20.0,['Monster' 'Water 1'],"Medium Slow
",70.0,0.0,0.0,0.0,1.0,3.0,3.0,Wartortle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0
13.0,Mega Blastoise,Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,Caterpie,Bug,,['Shield Dust'],['Run Away'],I,45.0,30.0,35.0,20.0,20.0,45.0,195.0,2.9,0.3,0.5,Worm Pokémon,255.0,15.0,['Bug'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,1.0,3.0,No Preevolution,1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
15.0,Metapod,Bug,,['Shed Skin'],[],I,50.0,20.0,55.0,25.0,25.0,30.0,205.0,9.9,0.7,0.5,Cocoon Pokémon,120.0,15.0,['Bug'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,2.0,3.0,Caterpie,1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
16.0,Butterfree,Bug,Flying,['Compound Eyes'],['Tinted Lens'],I,60.0,45.0,50.0,90.0,80.0,70.0,395.0,32.0,1.1,0.5,Butterfly Pokémon,45.0,15.0,['Bug'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,3.0,3.0,Metapod,1.0,0.25,2.0,1.0,0.0,4.0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,1.0,2.0,1.0,1.0,1.0
17.0,Weedle,Bug,Poison,['Shield Dust'],['Run Away'],I,40.0,35.0,30.0,20.0,20.0,50.0,195.0,3.2,0.3,0.5,Hairy Bug Pokémon,255.0,15.0,['Bug'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,1.0,3.0,No Preevolution,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5
18.0,Kakuna,Bug,Poison,['Shed Skin'],[],I,45.0,25.0,50.0,25.0,25.0,35.0,205.0,10.0,0.6,0.5,Cocoon Pokémon,120.0,15.0,['Bug'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,2.0,3.0,Weedle,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5
19.0,Beedrill,Bug,Poison,['Swarm'],['Sniper'],I,65.0,90.0,40.0,45.0,80.0,75.0,495.0,29.5,1.0,0.5,Poison Bee Pokémon,45.0,15.0,['Bug'],"Medium Fast
",70.0,0.0,0.0,0.0,1.0,3.0,3.0,Kakuna,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5
20.0,Mega Beedrill,Bug,Poison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,Pidgey,Normal,Flying,"['Keen Eye', 'Tangled Feet']",['Big Pecks'],I,40.0,45.0,40.0,35.0,35.0,56.0,251.0,1.8,0.3,0.5,Tiny Bird Pokémon,255.0,15.0,['Flying'],"Medium Slow
",70.0,0.0,0.0,0.0,0.0,1.0,3.0,No Preevolution,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0
22.0,Pidgeotto,Normal,Flying,"['Keen Eye', 'Tangled Feet']",['Big Pecks'],I,63.0,60.0,55.0,50.0,50.0,71.0,349.0,30.0,1.1,0.5,Bird Pokémon,120.0,15.0,['Flying'],"Medium Slow
",70.0,0.0,0.0,0.0,0.0,2.0,3.0,Pidgey,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0
23.0,Pidgeot,Normal,Flying,"['Keen Eye', 'Tangled Feet']",['Big Pecks'],I,83.0,80.0,75.0,70.0,70.0,101.0,579.0,39.5,1.5,0.5,Bird Pokémon,45.0,15.0,['Flying'],"Medium Slow
",70.0,0.0,0.0,0.0,1.0,3.0,3.0,Pidgeotto,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0
24.0,Mega Pidgeot,Normal,Flying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,Rattata,Normal,,"['Run Away', 'Guts']",['Hustle'],I,30.0,56.0,35.0,25.0,35.0,72.0,253.0,3.5,0.3,0.5,Mouse Pokémon,255.0,15.0,['Field'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,1.0,2.0,No Preevolution,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26.0,Raticate,Normal,,"['Run Away', 'Guts']",['Hustle'],I,55.0,81.0,60.0,50.0,70.0,97.0,413.0,18.5,0.7,0.5,Mouse Pokémon,127.0,15.0,['Field'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,2.0,2.0,Rattata,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27.0,Spearow,Normal,Flying,['Keen Eye'],['Sniper'],I,40.0,60.0,30.0,31.0,31.0,70.0,262.0,2.0,0.3,0.5,Tiny Bird Pokémon,255.0,15.0,['Flying'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,1.0,2.0,No Preevolution,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0
28.0,Fearow,Normal,Flying,['Keen Eye'],['Sniper'],I,65.0,90.0,65.0,61.0,61.0,100.0,442.0,38.0,1.2,0.5,Beak Pokémon,90.0,15.0,['Flying'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,2.0,2.0,Spearow,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0
29.0,Ekans,Poison,,"['Intimidate', 'Shed Skin']",['Unnerve'],I,35.0,60.0,44.0,40.0,54.0,55.0,288.0,6.9,2.0,0.5,Snake Pokémon,255.0,20.0,['Field' 'Dragon'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,1.0,2.0,No Preevolution,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5
30.0,Arbok,Poison,,"['Intimidate', 'Shed Skin']",['Unnerve'],I,60.0,95.0,69.0,65.0,79.0,80.0,448.0,65.0,3.5,0.5,Cobra Pokémon,90.0,20.0,['Field' 'Dragon'],"Medium Fast
",70.0,0.0,0.0,0.0,0.0,2.0,2.0,Ekans,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5
